player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_36,team
Kevin Durant,30,49,49,1745,9.8,19.2,.509,1.9,5.1,.381,7.8,14.1,.555,6.7,7.4,.906,0.5,6.9,7.4,6.0,0.8,1.2,3.3,2.0,28.2,GSW
Klay Thompson,28,49,49,1676,9.0,19.5,.462,3.0,8.0,.380,6.0,11.5,.519,1.9,2.4,.811,0.5,3.8,4.3,2.1,1.2,0.7,1.7,2.3,23.0,GSW
Stephen Curry,30,38,38,1308,10.2,20.8,.491,5.4,12.2,.446,4.8,8.6,.554,4.8,5.2,.931,0.7,4.6,5.3,5.7,1.2,0.4,2.9,2.7,30.7,GSW
Draymond Green,28,35,35,1094,3.2,7.6,.417,0.7,2.8,.262,2.4,4.8,.507,1.1,1.5,.723,1.2,8.0,9.2,8.4,1.8,1.1,3.0,3.7,8.2,GSW
Kevon Looney,22,49,22,1032,4.9,8.0,.618,0.0,0.3,.111,4.9,7.6,.639,1.5,2.4,.614,4.6,5.6,10.2,3.2,0.9,1.4,1.2,4.9,11.4,GSW
Andre Iguodala,35,44,11,1028,3.3,6.9,.472,1.1,3.3,.344,2.1,3.6,.587,1.1,1.8,.608,1.1,4.7,5.8,4.7,1.3,1.2,1.2,2.1,8.7,GSW
Jonas Jerebko,31,47,6,894,4.8,10.1,.472,2.0,5.5,.365,2.8,4.6,.600,1.9,2.3,.825,2.3,7.0,9.3,2.9,0.6,0.4,1.4,4.1,13.5,GSW
Quinn Cook,25,41,8,611,7.3,15.4,.475,2.8,6.8,.417,4.5,8.6,.521,0.9,1.2,.750,0.8,4.5,5.2,4.2,0.8,0.2,1.9,3.5,18.3,GSW
Shaun Livingston,33,38,0,586,4.4,9.2,.483,0.0,0.1,.000,4.4,9.0,.490,2.2,2.6,.814,1.7,3.1,4.7,4.7,1.2,1.0,1.4,2.9,11.0,GSW
Alfonzo McKinnie,26,40,0,582,5.1,10.9,.472,1.7,4.6,.360,3.5,6.2,.554,0.9,1.7,.519,3.3,6.1,9.3,0.9,0.6,0.6,1.2,4.9,12.8,GSW
Jordan Bell,24,44,1,481,4.0,7.8,.519,0.0,0.1,.000,4.0,7.7,.524,1.0,1.6,.667,2.3,5.9,8.2,3.8,1.0,2.5,1.6,4.0,9.1,GSW
Damian Jones,23,24,22,410,4.7,6.5,.716,0.0,0.0,,4.7,6.5,.716,2.1,3.2,.649,2.7,3.9,6.6,2.5,1.1,2.2,1.4,5.5,11.4,GSW
Damion Lee,26,16,0,195,5.0,10.7,.466,2.4,5.7,.419,2.6,5.0,.519,2.0,2.4,.846,0.6,4.8,5.4,0.6,1.5,0.0,1.5,3.5,14.4,GSW
Jacob Evans,21,23,0,99,2.2,9.1,.240,0.4,2.2,.167,1.8,6.9,.263,0.0,0.4,.000,0.4,2.9,3.3,4.7,0.4,0.4,2.2,4.7,4.7,GSW
DeMarcus Cousins,28,4,4,84,8.1,17.6,.463,2.1,3.9,.556,6.0,13.7,.438,4.7,6.0,.786,2.1,10.3,12.4,6.0,1.7,1.3,3.0,7.3,23.1,GSW
Marcus Derrickson,22,6,0,34,6.4,15.9,.400,2.1,7.4,.286,4.2,8.5,.500,3.2,4.2,.750,2.1,2.1,4.2,0.0,0.0,1.1,3.2,8.5,18.0,GSW
Pascal Siakam,24,51,50,1597,6.8,12.1,.559,0.8,2.5,.324,6.0,9.6,.621,3.0,3.8,.799,1.8,6.2,8.1,3.3,1.1,0.8,2.0,3.5,17.4,TOR
