player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_36,team
Danny Green,31,50,50,1465,4.5,10.1,.446,2.9,6.9,.423,1.6,3.3,.493,0.6,0.6,.885,1.1,4.1,5.2,1.6,1.1,1.0,1.2,3.0,12.5,TOR
Kyle Lowry,32,41,41,1407,4.9,12.0,.410,2.3,7.1,.322,2.6,4.9,.536,2.8,3.3,.845,0.6,4.1,4.7,9.9,1.5,0.6,2.9,2.6,14.9,TOR
Serge Ibaka,29,48,39,1384,8.4,15.9,.529,0.9,3.2,.270,7.5,12.7,.593,2.5,3.2,.780,2.6,6.9,9.5,1.7,0.6,1.7,2.2,3.9,20.2,TOR
Kawhi Leonard,27,38,38,1332,9.9,19.8,.503,1.9,5.1,.372,8.1,14.7,.549,6.9,8.0,.858,1.4,6.8,8.2,3.3,1.9,0.5,2.1,1.6,28.6,TOR
Fred VanVleet,24,46,20,1231,4.9,12.3,.401,2.2,6.1,.365,2.7,6.2,.436,2.0,2.4,.831,0.6,3.1,3.6,6.1,1.1,0.4,1.7,2.4,14.1,TOR
Delon Wright,26,46,2,842,5.1,11.5,.441,1.3,3.7,.349,3.8,7.9,.484,1.8,2.1,.860,1.5,3.5,5.0,4.4,1.8,0.6,1.5,2.1,13.3,TOR
OG Anunoby,21,41,5,837,5.2,11.7,.443,2.0,5.9,.336,3.2,5.8,.552,0.6,1.6,.395,1.4,3.8,5.2,1.2,1.1,0.4,1.2,3.7,12.9,TOR
Jonas Valanciunas,26,30,10,564,9.5,16.5,.575,0.6,1.9,.300,8.9,14.6,.611,4.9,6.0,.819,3.4,10.3,13.8,1.9,0.8,1.5,2.5,5.2,24.5,TOR
Norman Powell,25,30,2,555,5.8,11.9,.492,1.9,5.1,.385,3.9,6.8,.571,1.8,2.3,.778,0.3,3.3,3.6,2.9,1.4,0.5,1.8,3.2,15.4,TOR
C.J. Miles,31,38,1,540,4.4,13.3,.330,2.7,8.8,.303,1.7,4.5,.382,2.1,2.7,.775,0.7,3.6,4.3,1.4,1.1,0.6,1.3,3.9,13.5,TOR
Greg Monroe,28,35,2,384,6.2,13.6,.455,0.0,0.4,.000,6.2,13.2,.468,3.0,5.3,.561,5.2,8.2,13.3,1.4,1.1,0.7,2.8,5.1,15.4,TOR
Lorenzo Brown,28,26,0,212,3.9,12.1,.324,1.0,4.8,.214,2.9,7.3,.395,0.5,0.5,1.000,0.8,4.4,5.3,4.8,2.0,0.8,2.7,3.7,9.3,TOR
Malachi Richardson,23,22,0,103,3.1,10.1,.310,2.8,8.7,.320,0.3,1.4,.250,1.4,1.7,.800,0.7,3.8,4.5,0.0,0.3,0.0,2.8,4.5,10.5,TOR
Chris Boucher,26,15,0,83,7.4,17.3,.425,3.9,9.5,.409,3.5,7.8,.444,4.8,5.6,.846,3.9,6.5,10.4,0.0,0.9,6.9,0.9,6.1,23.4,TOR
Patrick McCaw,23,5,0,44,0.8,4.9,.167,0.0,2.5,.000,0.8,2.5,.333,0.0,0.0,,2.5,6.5,9.0,4.1,2.5,0.0,4.1,4.9,1.6,TOR
Jordan Loyd,25,5,0,24,4.5,7.5,.600,3.0,3.0,1.000,1.5,4.5,.333,6.0,6.0,1.000,1.5,9.0,10.5,3.0,0.0,0.0,3.0,3.0,18.0,TOR
Giannis Antetokounmpo,24,45,45,1495,10.7,18.6,.575,0.5,2.6,.198,10.2,16.0,.635,7.0,10.0,.704,2.6,11.2,13.8,6.3,1.5,1.5,4.3,3.7,28.9,MIL
Khris Middleton,27,46,46,1430,7.1,16.4,.435,2.8,7.4,.377,4.4,9.0,.482,3.1,3.7,.844,0.5,6.1,6.6,4.8,1.3,0.1,2.5,2.8,20.1,MIL
Eric Bledsoe,29,48,48,1408,7.4,15.2,.491,1.7,5.9,.297,5.7,9.3,.613,2.7,3.5,.766,1.2,4.3,5.5,6.7,1.7,0.5,2.6,2.6,19.3,MIL
Brook Lopez,30,48,48,1332,5.5,12.2,.453,3.3,8.5,.392,2.2,3.8,.590,1.3,1.6,.803,0.5,4.7,5.2,1.4,0.6,2.7,1.2,2.8,15.7,MIL
Malcolm Brogdon,26,45,45,1325,7.3,14.2,.517,1.8,4.4,.416,5.5,9.8,.562,2.8,2.9,.953,1.2,4.3,5.6,4.1,0.9,0.3,2.0,2.1,19.3,MIL
Tony Snell,27,48,4,811,4.6,10.3,.448,2.5,6.2,.400,2.1,4.1,.522,1.4,1.6,.914,0.9,3.6,4.4,1.6,0.8,0.4,0.8,2.4,13.1,MIL
Ersan Ilyasova,31,36,3,647,5.0,11.5,.432,1.7,4.8,.349,3.3,6.7,.492,1.6,1.8,.875,2.6,6.6,9.2,1.9,1.3,0.5,1.6,4.9,13.1,MIL
Sterling Brown,23,38,0,609,5.0,10.6,.475,2.1,5.4,.391,2.9,5.1,.563,0.9,1.1,.789,1.2,5.4,6.6,3.0,0.8,0.2,1.5,3.2,13.1,MIL
Pat Connaughton,26,30,1,524,4.5,11.0,.413,1.9,6.7,.278,2.7,4.3,.619,1.0,1.4,.700,1.6,5.7,7.4,4.1,0.9,1.0,1.2,2.5,11.9,MIL
George Hill,32,23,0,477,3.4,8.5,.398,1.0,3.8,.255,2.4,4.7,.516,1.6,2.1,.750,1.0,3.4,4.4,3.8,1.5,0.2,0.8,3.0,9.4,MIL
Thon Maker,21,35,0,409,5.2,11.8,.440,2.3,6.9,.333,2.9,4.9,.589,1.8,3.3,.541,1.5,7.0,8.4,1.6,0.9,1.6,0.8,4.8,14.4,MIL
Donte DiVincenzo,22,23,0,358,4.2,10.8,.393,1.7,6.9,.246,2.5,3.8,.658,0.9,1.1,.818,1.3,4.3,5.6,2.7,1.2,0.6,1.8,3.4,11.1,MIL
D.J. Wilson,22,20,0,354,4.4,9.4,.467,1.9,4.4,.442,2.4,5.0,.490,0.8,1.9,.421,1.8,7.8,9.7,2.0,0.8,1.2,0.9,4.0,11.5,MIL
John Henson,28,14,0,188,5.9,12.8,.463,2.1,5.9,.355,3.8,6.9,.556,1.1,1.9,.600,3.1,10.5,13.6,2.7,1.3,2.1,2.3,3.1,15.1,MIL
Matthew Dellavedova,28,12,0,97,2.2,7.1,.316,1.5,4.1,.364,0.7,3.0,.250,1.5,1.5,1.000,0.0,3.7,3.7,10.8,0.7,0.0,4.1,3.3,7.4,MIL
Jason Smith,32,6,0,40,3.6,11.7,.308,2.7,8.1,.333,0.9,3.6,.250,1.8,1.8,1.000,2.7,7.2,9.9,0.9,1.8,1.8,4.5,5.4,11.7,MIL
Christian Wood,23,6,0,37,8.8,16.5,.529,1.9,3.9,.500,6.8,12.6,.538,4.9,5.8,.833,3.9,11.7,15.6,1.9,0.0,0.0,1.9,1.9,24.3,MIL
Jaylen Morris,23,4,0,29,5.0,12.4,.400,1.2,3.7,.333,3.7,8.7,.429,1.2,2.5,.500,0.0,6.2,6.2,5.0,2.5,0.0,1.2,1.2,12.4,MIL
Ben Simmons,22,49,49,1635,7.2,12.6,.571,0.0,0.0,.000,7.2,12.6,.572,3.5,6.0,.581,2.4,7.9,10.3,8.9,1.3,0.8,3.7,2.8,17.9,PHI
Joel Embiid,24,46,46,1539,9.8,19.9,.491,1.3,4.2,.309,8.5,15.7,.539,8.5,10.6,.801,2.6,11.7,14.3,3.8,0.6,2.1,3.7,3.6,29.3,PHI
J.J. Redick,34,48,35,1492,7.2,16.1,.446,3.5,9.2,.382,3.7,6.9,.531,3.5,3.9,.901,0.3,2.2,2.6,3.2,0.5,0.2,1.6,2.0,21.4,PHI
Landry Shamet,21,50,2,1006,5.1,11.6,.443,3.3,8.1,.403,1.9,3.5,.536,1.5,1.8,.840,0.5,2.1,2.6,1.9,0.9,0.3,0.9,3.6,15.0,PHI
Mike Muscala,27,43,4,946,3.8,9.6,.394,2.4,7.0,.342,1.4,2.5,.537,2.1,2.6,.809,1.8,5.2,6.9,2.2,0.6,1.0,1.6,3.8,12.0,PHI
T.J. McConnell,26,44,1,931,5.1,9.4,.550,0.3,1.0,.333,4.8,8.3,.577,0.8,1.0,.800,0.7,3.1,3.8,6.7,2.0,0.5,2.3,2.9,11.4,PHI
Wilson Chandler,31,34,30,901,3.4,7.8,.438,1.6,4.2,.387,1.8,3.5,.500,0.5,0.7,.722,1.7,4.8,6.5,2.6,0.8,0.7,1.4,3.6,9.0,PHI
Jimmy Butler,29,28,28,898,7.6,16.0,.475,1.3,3.3,.386,6.3,12.6,.498,4.9,5.6,.871,2.0,3.4,5.4,3.8,2.1,0.6,1.7,2.0,21.3,PHI
Furkan Korkmaz,21,40,6,590,5.2,13.0,.399,2.6,7.9,.331,2.6,5.1,.506,1.8,2.2,.806,0.8,5.1,5.9,2.9,1.5,0.1,1.4,3.2,14.8,PHI
Robert Covington,28,13,13,440,4.1,9.6,.427,2.5,6.3,.390,1.6,3.3,.500,1.4,1.9,.739,0.6,4.9,5.5,1.1,2.0,1.9,1.8,3.7,12.0,PHI
Markelle Fultz,20,19,15,427,5.5,13.1,.419,0.3,1.2,.286,5.1,11.9,.433,1.8,3.1,.568,2.2,3.7,5.9,5.0,1.4,0.4,2.1,4.4,13.1,PHI
Dario Saric,24,13,13,396,4.4,12.0,.364,1.9,6.4,.300,2.5,5.6,.435,2.5,2.7,.900,1.9,5.9,7.8,2.4,0.4,0.3,2.3,3.5,13.1,PHI
Amir Johnson,31,37,2,354,5.6,10.5,.534,0.9,2.4,.375,4.7,8.0,.582,2.3,3.1,.767,2.6,7.0,9.7,4.6,1.1,0.8,3.4,7.3,14.4,PHI
Jonah Bolden,23,25,3,316,4.2,8.5,.493,1.4,4.6,.300,2.8,4.0,.714,0.9,2.1,.444,2.6,7.6,10.3,1.7,0.7,2.4,2.6,6.0,10.7,PHI
Shake Milton,22,12,0,106,5.8,13.2,.436,3.4,7.5,.455,2.4,5.8,.412,1.4,1.7,.800,2.4,3.1,5.4,3.7,1.4,1.0,0.7,4.1,16.3,PHI
Corey Brewer,32,4,3,101,5.7,12.1,.471,1.4,3.2,.444,4.3,8.9,.480,2.5,3.6,.700,0.7,3.6,4.3,2.5,3.2,0.7,2.1,3.9,15.3,PHI
Demetrius Jackson,24,6,0,39,7.4,13.8,.533,1.8,5.5,.333,5.5,8.3,.667,3.7,3.7,1.000,1.8,0.9,2.8,4.6,1.8,0.0,0.9,3.7,20.3,PHI
Haywood Highsmith,22,2,0,9,4.0,8.0,.500,4.0,8.0,.500,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,12.0,PHI
Blake Griffin,29,46,46,1671,8.9,18.5,.482,2.4,6.6,.365,6.5,11.8,.547,6.0,7.9,.760,1.3,6.8,8.0,5.2,0.8,0.5,3.7,2.8,26.2,DET
Andre Drummond,25,45,45,1487,7.5,15.1,.499,0.1,0.7,.133,7.4,14.4,.518,2.8,5.3,.528,5.7,10.5,16.2,1.3,1.7,1.8,2.7,3.7,17.9,DET
Reggie Jackson,28,48,48,1378,6.0,15.3,.395,2.4,7.0,.342,3.6,8.3,.440,3.2,3.7,.859,0.8,2.7,3.5,5.2,0.8,0.2,2.2,3.6,17.7,DET
Reggie Bullock,27,40,40,1230,4.8,11.8,.408,2.9,7.7,.379,1.9,4.1,.464,1.5,1.7,.879,0.5,2.6,3.1,2.9,0.6,0.1,1.4,2.1,14.1,DET
Langston Galloway,27,46,1,1006,4.7,12.3,.382,2.7,8.0,.335,2.0,4.3,.471,1.5,1.8,.820,1.1,2.8,3.9,1.8,0.8,0.1,0.6,2.7,13.5,DET
Stanley Johnson,22,43,7,852,5.1,13.4,.381,1.8,6.9,.262,3.3,6.5,.506,1.6,2.0,.792,1.0,5.7,6.7,2.1,1.8,0.5,2.2,3.5,13.6,DET
Bruce Brown,22,41,24,825,3.5,9.0,.393,0.7,2.6,.288,2.8,6.4,.435,1.4,1.8,.756,1.4,4.1,5.4,2.6,0.9,0.8,1.3,4.7,9.2,DET
Luke Kennard,22,30,9,601,5.5,13.0,.424,2.3,6.3,.371,3.2,6.7,.473,1.1,1.6,.731,0.3,4.9,5.2,2.3,0.7,0.4,1.6,2.2,14.5,DET
Jose Calderon,37,40,0,583,2.5,7.0,.360,0.8,3.4,.236,1.7,3.6,.475,0.6,0.7,.818,0.6,2.8,3.3,6.7,1.0,0.2,2.1,3.6,6.4,DET
Ish Smith,30,25,0,580,5.5,13.7,.403,1.7,5.0,.333,3.8,8.7,.443,0.7,1.1,.667,0.1,2.7,2.8,4.4,0.7,0.4,1.6,3.5,13.5,DET
Zaza Pachulia,34,38,3,562,3.5,8.1,.429,0.0,0.3,.000,3.5,7.8,.443,4.2,5.4,.765,4.8,6.8,11.6,3.6,1.7,0.7,2.1,6.1,11.1,DET
Glenn Robinson,25,29,16,410,3.8,9.9,.381,1.0,3.5,.275,2.8,6.4,.438,2.3,2.7,.839,0.8,2.5,3.3,1.1,0.9,0.4,1.1,2.5,10.8,DET
Jon Leuer,29,31,1,343,6.3,10.4,.606,0.0,0.9,.000,6.3,9.4,.667,2.3,3.0,.759,2.3,6.6,8.9,1.3,1.3,0.4,2.2,5.4,14.9,DET
Khyri Thomas,22,13,0,110,4.6,11.1,.412,2.6,5.9,.444,2.0,5.2,.375,2.0,2.9,.667,0.7,3.3,3.9,1.0,1.3,0.7,0.7,3.3,13.7,DET
Henry Ellenson,22,2,0,25,5.8,14.4,.400,2.9,5.8,.500,2.9,8.6,.333,2.9,2.9,1.000,0.0,13.0,13.0,1.4,0.0,0.0,0.0,2.9,17.3,DET
Kalin Lucas,29,1,0,6,0.0,6.0,.000,0.0,6.0,.000,0.0,0.0,,12.0,12.0,1.000,0.0,18.0,18.0,6.0,0.0,0.0,0.0,6.0,12.0,DET
Zach Lofton,26,1,0,4,0.0,9.0,.000,0.0,9.0,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,DET
Bojan Bogdanovic,29,48,48,1523,6.4,13.1,.489,2.2,5.0,.429,4.3,8.1,.526,3.2,3.9,.824,0.6,4.1,4.7,1.9,1.0,0.0,1.7,1.9,18.2,IND
Thaddeus Young,30,48,48,1444,6.6,12.4,.536,0.6,1.7,.329,6.1,10.6,.570,1.3,2.2,.600,2.8,4.6,7.4,2.1,1.9,0.6,1.5,2.9,15.2,IND
Darren Collison,31,48,48,1328,4.6,10.1,.457,1.3,3.2,.402,3.4,7.0,.482,2.3,2.8,.824,0.6,3.2,3.8,7.5,2.0,0.2,2.0,2.3,12.8,IND
Cory Joseph,27,48,0,1223,4.3,9.6,.448,1.2,3.2,.370,3.1,6.4,.486,0.5,0.8,.692,0.6,4.4,4.9,5.4,1.5,0.3,1.7,2.2,10.3,IND
Myles Turner,22,43,43,1211,6.6,13.2,.501,1.1,2.7,.402,5.5,10.5,.527,2.1,3.0,.690,1.8,7.4,9.3,2.2,0.7,3.6,1.9,3.4,16.4,IND
Domantas Sabonis,22,46,5,1157,8.3,13.5,.616,0.2,0.3,.778,8.1,13.3,.613,4.4,5.8,.753,3.8,9.8,13.6,4.0,0.9,0.7,3.1,4.4,21.3,IND
Victor Oladipo,26,36,36,1147,7.8,18.5,.423,2.3,6.8,.343,5.5,11.7,.470,3.2,4.4,.730,0.7,5.7,6.3,5.8,1.9,0.3,2.6,2.3,21.2,IND
Tyreke Evans,29,44,12,906,6.8,17.3,.395,2.1,6.0,.360,4.7,11.3,.414,3.2,4.1,.769,1.0,3.9,4.8,4.1,1.8,0.4,3.1,2.9,19.0,IND
Doug McDermott,27,48,0,836,4.9,10.3,.473,2.3,5.8,.393,2.6,4.5,.577,1.8,2.1,.875,0.4,2.2,2.6,1.8,0.5,0.3,1.2,2.9,13.8,IND
Aaron Holiday,22,29,0,295,6.6,16.4,.403,2.2,8.2,.269,4.4,8.2,.537,2.8,3.2,.885,0.4,4.9,5.2,4.8,1.6,1.2,2.1,4.0,18.2,IND
T.J. Leaf,21,27,0,206,5.8,11.5,.500,0.5,2.8,.188,5.2,8.7,.600,1.0,1.9,.545,2.6,5.9,8.6,1.9,0.7,0.9,1.2,3.1,13.1,IND
Kyle O'Quinn,28,26,0,190,6.4,13.6,.472,0.2,1.9,.100,6.3,11.7,.532,1.7,1.9,.900,3.2,8.3,11.6,5.9,0.6,2.7,3.0,6.6,14.8,IND
Edmond Sumner,23,9,0,34,2.1,8.5,.250,1.1,4.2,.250,1.1,4.2,.250,0.0,2.1,.000,2.1,1.1,3.2,1.1,1.1,0.0,4.2,5.3,5.3,IND
Alize Johnson,22,10,0,29,2.5,11.2,.222,1.2,1.2,1.000,1.2,9.9,.125,1.2,5.0,.250,1.2,8.7,9.9,0.0,0.0,1.2,0.0,3.7,7.4,IND
Davon Reed,23,4,0,10,0.0,3.6,.000,0.0,0.0,,0.0,3.6,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,IND
Ike Anigbogu,20,3,0,6,0.0,18.0,.000,0.0,0.0,,0.0,18.0,.000,0.0,0.0,,6.0,12.0,18.0,6.0,0.0,6.0,6.0,0.0,0.0,IND
Jayson Tatum,20,49,49,1525,7.0,15.5,.450,1.9,5.1,.383,5.1,10.5,.482,3.1,3.6,.855,1.1,6.0,7.2,2.1,1.2,0.9,1.8,2.4,19.0,BOS
Kyrie Irving,26,43,43,1403,9.9,19.9,.499,2.9,7.0,.412,7.0,12.9,.546,3.3,3.9,.850,1.3,4.0,5.3,7.6,1.9,0.5,3.0,2.5,26.1,BOS
Marcus Smart,24,48,28,1273,3.5,8.7,.405,2.0,5.5,.363,1.5,3.2,.478,1.8,2.3,.788,0.9,2.9,3.8,5.3,2.3,0.5,1.9,3.4,10.8,BOS
Marcus Morris,29,45,28,1228,6.9,14.5,.476,2.9,6.8,.422,4.0,7.7,.523,2.6,3.0,.865,1.2,6.7,7.9,1.8,0.8,0.4,1.6,3.4,19.3,BOS
Gordon Hayward,28,44,16,1144,5.3,12.6,.420,1.6,5.2,.317,3.7,7.4,.492,2.8,3.3,.848,1.1,5.3,6.4,4.8,1.3,0.3,2.0,2.0,15.0,BOS
Jaylen Brown,22,44,22,1139,6.4,14.4,.444,1.6,5.0,.323,4.8,9.4,.508,2.7,3.9,.677,1.3,4.5,5.8,1.9,1.2,0.8,2.0,3.7,17.0,BOS
Terry Rozier,24,49,6,1108,4.9,13.0,.379,2.3,6.5,.352,2.7,6.6,.406,1.5,1.9,.797,0.8,5.7,6.5,4.5,1.4,0.4,1.4,1.9,13.7,BOS
Al Horford,32,39,39,1106,6.6,12.6,.525,1.5,4.1,.365,5.1,8.5,.602,1.1,1.4,.767,2.2,6.1,8.3,4.6,1.0,1.8,2.1,2.5,15.8,BOS
Daniel Theis,26,37,2,550,5.8,10.9,.536,1.0,2.7,.390,4.8,8.2,.584,2.5,3.4,.731,3.7,6.0,9.6,2.7,0.8,1.3,1.4,6.5,15.2,BOS
Aron Baynes,32,31,10,455,4.7,10.2,.457,1.0,3.2,.317,3.6,7.0,.523,2.8,3.2,.875,4.4,6.5,10.8,2.8,0.4,1.3,2.0,5.8,13.1,BOS
Semi Ojeleye,24,35,2,378,4.3,10.2,.421,1.7,5.9,.290,2.6,4.3,.600,1.1,1.7,.667,1.4,3.9,5.3,1.1,0.6,0.2,1.1,2.5,11.4,BOS
Robert Williams,21,22,0,198,5.1,6.7,.757,0.0,0.0,,5.1,6.7,.757,1.1,1.8,.600,3.5,6.5,10.0,0.9,1.1,5.8,1.5,4.9,11.3,BOS
Brad Wanamaker,29,21,0,185,4.9,11.3,.431,2.5,5.1,.500,2.3,6.2,.375,2.5,2.7,.929,0.2,3.7,3.9,6.4,1.6,0.2,2.3,2.7,14.8,BOS
Guerschon Yabusele,23,27,0,157,4.4,10.3,.422,0.9,3.9,.235,3.4,6.4,.536,2.1,2.8,.750,3.0,3.9,6.9,2.5,1.6,1.6,2.3,6.2,11.7,BOS
PJ Dozier,22,4,0,10,10.8,21.6,.500,3.6,7.2,.500,7.2,14.4,.500,0.0,0.0,,7.2,7.2,14.4,0.0,0.0,0.0,0.0,3.6,25.2,BOS
Kemba Walker,28,48,48,1647,9.0,20.7,.434,3.3,9.4,.357,5.7,11.4,.497,4.5,5.6,.815,0.6,4.0,4.5,5.9,1.3,0.5,2.7,1.7,25.9,CHO
Nicolas Batum,30,48,48,1484,3.9,8.4,.464,1.7,4.1,.404,2.2,4.3,.523,1.4,1.6,.862,0.9,5.1,6.0,3.9,1.1,0.5,1.9,2.0,10.8,CHO
Jeremy Lamb,26,45,45,1305,6.9,15.5,.443,1.7,4.9,.346,5.2,10.6,.488,3.4,4.0,.854,1.0,5.9,6.8,2.5,1.2,0.3,1.2,2.4,18.8,CHO
Marvin Williams,32,47,47,1302,4.7,11.2,.420,2.6,6.8,.388,2.1,4.4,.469,1.2,1.6,.724,1.2,6.1,7.3,1.6,1.2,0.9,0.8,2.8,13.2,CHO
Miles Bridges,20,46,0,869,4.8,10.9,.445,1.3,4.5,.294,3.5,6.4,.552,1.6,2.1,.745,1.1,5.8,6.9,1.9,0.9,1.2,1.1,2.3,12.6,CHO
Cody Zeller,26,35,35,857,5.4,9.7,.558,0.2,0.7,.313,5.2,9.0,.577,2.7,3.2,.842,3.0,6.1,9.2,3.1,1.1,1.2,1.9,4.7,13.7,CHO
Malik Monk,20,45,0,825,6.8,17.3,.394,3.1,9.3,.335,3.7,8.0,.462,2.9,3.2,.892,0.4,2.9,3.3,3.6,1.1,0.4,2.6,2.7,19.6,CHO
Michael Kidd-Gilchrist,25,41,1,817,5.3,11.0,.486,0.4,1.4,.323,4.9,9.6,.509,3.4,4.5,.762,3.2,5.2,8.4,1.7,1.0,1.5,1.5,4.8,14.5,CHO
Tony Parker,36,42,0,775,7.5,16.5,.454,0.4,1.7,.222,7.1,14.8,.480,3.5,4.9,.724,0.4,2.5,2.9,7.6,0.8,0.2,2.6,1.9,18.9,CHO
Willy Hernangomez,24,40,2,562,7.2,13.7,.523,0.8,1.8,.464,6.3,11.9,.532,4.5,6.5,.686,5.3,9.4,14.7,2.4,0.7,0.9,2.5,4.9,19.7,CHO
Devonte' Graham,23,27,3,340,4.3,11.3,.383,2.1,6.2,.339,2.2,5.1,.438,1.5,1.8,.824,0.2,2.9,3.1,6.1,1.6,0.0,1.7,2.9,12.3,CHO
Bismack Biyombo,26,23,11,340,4.6,7.7,.589,0.0,0.0,,4.6,7.7,.589,2.6,4.1,.641,4.1,8.6,12.7,1.4,0.7,2.6,1.6,5.2,11.8,CHO
Frank Kaminsky,25,23,0,262,6.3,12.8,.495,1.9,5.5,.350,4.4,7.3,.604,3.0,4.5,.667,2.5,5.4,7.8,3.4,0.7,0.7,2.5,3.4,17.6,CHO
Dwayne Bacon,23,23,0,244,6.2,11.7,.532,1.8,3.2,.545,4.4,8.4,.526,1.5,1.8,.833,0.3,4.9,5.2,2.5,0.4,0.0,1.8,3.7,15.6,CHO
J.P. Macura,23,1,0,14,5.1,20.6,.250,0.0,10.3,.000,5.1,10.3,.500,0.0,0.0,,0.0,5.1,5.1,5.1,0.0,0.0,0.0,0.0,10.3,CHO
Aaron Gordon,23,46,46,1546,6.5,14.1,.456,1.7,4.7,.355,4.8,9.5,.506,2.5,3.5,.725,1.9,6.3,8.2,3.6,0.8,0.7,2.1,2.4,17.1,ORL
Nikola Vucevic,28,49,49,1529,9.9,19.2,.518,1.3,3.6,.375,8.6,15.6,.551,2.5,3.3,.771,3.1,10.8,13.9,4.4,1.1,1.3,2.3,2.3,23.8,ORL
Evan Fournier,26,49,49,1528,6.5,15.2,.427,2.2,6.8,.328,4.3,8.5,.506,1.9,2.4,.777,0.5,2.9,3.5,4.1,1.0,0.2,2.3,3.3,17.1,ORL
D.J. Augustin,31,49,49,1372,4.8,10.3,.464,2.2,5.1,.433,2.6,5.2,.495,3.1,3.6,.862,0.7,2.1,2.8,6.1,0.7,0.0,2.0,1.8,14.9,ORL
Terrence Ross,27,50,0,1319,7.1,16.5,.432,3.1,8.3,.375,4.0,8.2,.490,1.6,2.0,.833,0.5,3.9,4.4,2.2,1.3,0.5,1.4,2.4,19.0,ORL
