player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_36,team
Corey Brewer,31,18,16,514,4.5,10.1,.444,1.6,4.7,.343,2.9,5.4,.532,2.2,2.7,.795,1.4,2.9,4.3,1.7,2.7,0.4,0.8,3.9,12.7,OKC
Dakari Johnson,22,31,6,161,4.9,8.7,.564,0.0,0.0,,4.9,8.7,.564,2.5,4.5,.550,3.6,4.0,7.6,1.8,1.3,1.8,0.7,6.0,12.3,OKC
Nick Collison,37,15,0,75,6.2,9.1,.684,0.0,0.0,,6.2,9.1,.684,2.4,6.2,.385,3.4,6.2,9.6,1.9,0.0,0.0,3.4,3.4,14.9,OKC
Kyle Singler,29,12,0,59,4.3,12.8,.333,1.2,3.1,.400,3.1,9.8,.313,4.3,7.9,.538,0.6,5.5,6.1,1.2,0.6,0.0,1.8,2.4,14.0,OKC
Daniel Hamilton,22,6,0,28,6.4,14.1,.455,2.6,6.4,.400,3.9,7.7,.500,0.0,0.0,,0.0,6.4,6.4,10.3,1.3,0.0,2.6,2.6,15.4,OKC
PJ Dozier,21,2,0,3,12.0,24.0,.500,0.0,0.0,,12.0,24.0,.500,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,24.0,OKC
Marc Gasol,33,73,73,2408,6.5,15.4,.420,1.6,4.8,.341,4.9,10.7,.456,4.2,5.0,.834,1.2,7.7,8.9,4.6,0.8,1.5,2.9,2.8,18.8,MEM
Dillon Brooks,22,82,74,2350,5.2,11.8,.440,1.4,4.0,.356,3.8,7.8,.484,1.9,2.5,.747,0.8,3.2,3.9,2.1,1.1,0.3,1.9,3.6,13.8,MEM
Jarell Martin,23,73,36,1661,4.8,10.8,.446,0.7,2.1,.347,4.1,8.6,.470,1.9,2.5,.767,2.1,4.8,6.9,1.6,0.8,1.1,1.9,4.6,12.2,MEM
Tyreke Evans,28,52,32,1607,8.2,18.1,.452,2.6,6.4,.399,5.6,11.7,.482,3.7,4.7,.785,1.0,5.0,5.9,6.0,1.3,0.4,2.6,2.2,22.6,MEM
JaMychal Green,27,55,54,1542,5.2,11.4,.457,1.0,3.0,.339,4.2,8.4,.499,1.9,2.6,.721,3.4,7.4,10.8,1.8,0.7,0.6,1.8,3.6,13.3,MEM
Mario Chalmers,31,66,10,1421,4.3,11.2,.379,1.3,4.8,.277,2.9,6.4,.456,3.0,3.5,.855,0.3,3.6,4.0,5.0,2.0,0.4,3.0,4.5,12.8,MEM
Andrew Harrison,23,56,46,1326,4.9,11.6,.422,1.3,3.9,.331,3.6,7.8,.467,3.4,4.3,.780,0.6,2.9,3.6,4.8,1.0,0.7,2.2,3.7,14.5,MEM
Ben McLemore,24,56,17,1091,5.2,12.3,.421,1.8,5.2,.346,3.4,7.1,.477,1.7,2.1,.828,1.1,3.5,4.6,1.7,1.3,0.5,2.0,4.6,13.9,MEM
James Ennis,27,45,14,1053,3.7,7.6,.486,1.0,2.9,.357,2.7,4.7,.565,2.2,2.5,.877,1.8,3.6,5.4,1.7,1.1,0.4,1.3,2.8,10.6,MEM
Deyonta Davis,21,62,6,943,6.1,10.1,.608,0.0,0.0,,6.1,10.1,.608,1.5,2.2,.667,2.9,6.7,9.5,1.5,0.6,1.5,1.2,4.8,13.7,MEM
Wayne Selden,23,35,9,692,6.0,14.0,.431,2.5,6.3,.402,3.5,7.6,.456,2.3,3.1,.746,0.8,2.1,2.9,3.4,0.9,0.3,2.8,3.1,16.9,MEM
Chandler Parsons,29,36,8,691,5.6,12.2,.462,2.7,6.3,.421,3.0,5.9,.504,0.9,1.4,.630,0.7,4.0,4.7,3.6,0.9,0.6,1.8,2.8,14.8,MEM
Kobi Simmons,20,32,12,643,4.5,10.6,.423,0.6,2.2,.282,3.9,8.4,.460,1.4,1.4,1.000,0.8,2.0,2.8,3.8,1.0,0.3,2.5,3.4,11.0,MEM
Ivan Rabb,20,36,5,516,6.0,10.6,.566,0.0,0.0,,6.0,10.6,.566,2.0,2.5,.806,3.7,7.3,11.0,2.2,0.8,0.9,2.4,3.8,14.0,MEM
Myke Henry,25,20,0,378,3.9,10.4,.376,1.8,5.5,.328,2.1,4.9,.431,0.6,1.0,.600,1.0,2.7,3.6,2.1,3.0,0.6,1.8,2.7,10.2,MEM
Mike Conley,30,12,12,373,6.2,16.2,.381,2.3,7.4,.312,3.9,8.8,.440,5.1,6.4,.803,0.0,2.6,2.6,4.7,1.2,0.3,1.7,2.3,19.8,MEM
Brandan Wright,30,27,1,366,5.6,9.7,.576,0.0,0.0,,5.6,9.7,.576,2.1,3.2,.636,3.1,6.0,9.1,1.3,1.3,2.5,0.8,2.9,13.3,MEM
MarShon Brooks,29,7,1,193,9.5,19.0,.500,3.5,6.0,.594,6.0,13.1,.457,3.7,4.3,.870,1.5,2.4,3.9,4.7,2.1,0.6,3.0,1.1,26.3,MEM
Briante Weber,25,5,0,119,3.0,6.4,.476,0.0,0.6,.000,3.0,5.7,.526,1.2,1.8,.667,1.5,3.6,5.1,2.7,2.4,0.6,2.4,3.0,7.3,MEM
Xavier Rathan-Mayes,23,5,0,118,3.7,12.8,.286,0.3,4.3,.071,3.4,8.5,.393,1.2,2.7,.444,0.0,1.5,1.5,5.5,1.8,0.9,3.4,5.5,8.8,MEM
Omari Johnson,28,4,0,75,4.3,10.1,.429,1.9,5.8,.333,2.4,4.3,.556,0.0,0.0,,1.9,3.4,5.3,3.4,1.0,0.0,1.4,2.9,10.6,MEM
