Type,Time,Gained,Down,ToGo,Location
Pass,13:24,0,1,10,NWE 23
Pass,13:21,7,2,10,NWE 23
Pass,12:47,0,3,3,NWE 30
Run,10:54,5,1,10,NWE 45
Run,10:16,12,2,5,50
Run,9:35,19,1,10,BUF 38
Run,8:53,12,1,10,BUF 19
Run,8:09,3,1,7,BUF 7
Run,7:38,4,2,4,BUF 4
Run,5:39,4,1,10,NWE 12
Run,4:59,12,2,6,NWE 16
Run,4:31,8,1,10,NWE 28
Run,3:54,3,2,2,NWE 36
Pass,3:18,0,1,10,NWE 39
Pass,3:12,6,2,10,NWE 39
Run,2:37,5,3,4,NWE 45
Pass,2:04,0,1,10,50
Run,0:08,-2,1,10,NWE 33
Pass,15:00,-9,2,12,NWE 31
Run,14:27,5,3,21,NWE 22
Pass,12:19,6,1,10,NWE 44
Run,11:49,15,2,4,50
Pass,11:21,6,1,10,BUF 35
Run,10:46,2,2,4,BUF 29
Run,10:09,27,3,2,BUF 27
Pass,9:41,9,1,10,BUF 49
Run,9:07,12,2,1,BUF 40
Run,8:28,3,1,10,BUF 28
Run,2:23,27,1,10,NWE 25
Run,2:00,3,1,10,BUF 48
Pass,1:27,3,2,7,BUF 45
Pass,0:50,0,3,4,BUF 42
Run,13:26,5,1,10,NWE 12
Run,12:33,7,2,13,NWE 9
Pass,12:01,4,3,6,NWE 16
Pass,10:02,4,1,10,NWE 12
Run,9:25,17,2,6,NWE 16
Run,8:50,9,1,10,NWE 33
Run,8:12,4,2,1,NWE 42
Pass,7:10,25,1,19,NWE 37
Run,6:28,2,1,10,BUF 38
Run,5:59,4,2,8,BUF 36
Pass,5:18,0,3,4,BUF 32
Pass,5:14,32,4,4,BUF 32
Run,2:48,5,1,10,NWE 6
Run,2:13,4,2,5,NWE 11
Run,1:33,10,3,1,NWE 15
Pass,0:55,0,1,10,NWE 25
Run,0:49,1,1,10,NWE 34
Pass,15:00,11,2,9,NWE 35
Run,14:19,2,1,10,NWE 46
Pass,13:37,10,2,8,NWE 48
Run,12:58,2,1,10,BUF 42
Pass,12:14,0,2,8,BUF 40
Pass,12:10,0,3,8,BUF 40
Run,10:55,3,1,10,BUF 24
Run,10:19,17,2,7,BUF 21
Run,9:46,1,1,4,BUF 4
Run,9:04,1,2,3,BUF 3
Run,8:26,-3,3,2,BUF 2
Run,6:39,0,1,10,BUF 33
Run,6:02,0,2,10,BUF 33
Run,5:15,4,3,10,BUF 33
Pass,5:10,0,4,6,BUF 29
Run,4:01,1,1,10,NWE 39
Run,3:20,3,2,9,NWE 40
Run,3:12,-4,3,6,NWE 43
