Type,Time,Gained,Down,ToGo,Location
Run,15:00,3,1,10,NWE 25
Run,14:30,4,2,7,NWE 28
Pass,13:48,16,3,3,NWE 32
Pass,13:08,17,1,10,NWE 48
Run,12:30,3,1,10,MIA 35
Run,11:55,4,2,7,MIA 32
Pass,11:11,4,3,3,MIA 28
Run,10:34,0,1,10,MIA 24
Pass,10:00,14,2,10,MIA 24
Run,9:31,5,1,10,MIA 10
Run,8:53,3,2,5,MIA 5
Run,8:17,2,3,2,MIA 2
Pass,5:32,3,1,10,NWE 25
Pass,4:47,6,2,7,NWE 28
Run,4:04,-2,3,1,NWE 34
Run,1:18,1,1,10,MIA 18
Pass,0:41,10,2,9,MIA 17
Run,0:08,4,1,7,MIA 7
Pass,15:00,1,2,3,MIA 3
Pass,14:19,2,3,2,MIA 2
Pass,13:26,17,1,10,NWE 25
Run,12:42,0,1,10,NWE 42
Pass,11:29,0,1,10,NWE 47
Pass,11:25,0,2,10,NWE 47
Pass,11:20,16,3,10,NWE 47
Pass,10:39,37,1,10,MIA 37
Pass,7:28,18,1,10,NWE 25
Pass,6:43,0,1,10,NWE 43
Run,6:37,3,2,10,NWE 43
Pass,6:01,20,3,7,NWE 46
Run,5:19,3,1,10,MIA 34
Pass,4:41,0,2,7,MIA 31
Pass,4:36,15,3,7,MIA 31
Pass,3:56,16,1,10,MIA 16
Run,1:51,2,1,10,NWE 20
Pass,1:14,0,2,8,NWE 22
Pass,1:10,6,3,8,NWE 22
Pass,0:30,0,1,10,MIA 15
Pass,0:26,13,2,10,MIA 15
Pass,0:21,0,1,2,MIA 2
Pass,0:17,0,2,2,MIA 2
Pass,0:14,-7,3,2,MIA 2
Run,10:36,7,1,10,NWE 22
Run,10:06,1,2,3,NWE 29
Run,9:06,9,1,10,NWE 35
Run,8:29,1,2,1,NWE 44
Pass,7:57,0,1,10,NWE 45
Pass,7:53,29,2,10,NWE 45
Run,7:07,2,1,10,MIA 26
Pass,6:32,0,2,8,MIA 24
Pass,6:30,0,3,8,MIA 24
Pass,3:53,0,1,10,NWE 21
Run,3:50,1,2,10,NWE 21
Pass,3:07,13,3,9,NWE 22
Pass,2:26,0,1,10,NWE 35
Pass,2:22,11,2,10,NWE 35
Run,1:43,0,1,10,NWE 46
Pass,0:48,12,2,15,NWE 41
Pass,0:05,-7,3,3,MIA 47
Pass,10:28,21,1,10,NWE 31
Pass,9:24,9,1,10,MIA 43
Run,8:48,3,2,1,MIA 34
Pass,8:16,16,1,10,MIA 31
Run,7:36,1,1,10,MIA 15
Pass,6:57,0,2,9,MIA 14
Pass,6:54,0,3,9,MIA 14
Run,4:26,3,1,5,NWE 32
Pass,3:49,0,2,2,NWE 35
Pass,3:44,4,3,2,NWE 35
Run,2:53,11,1,20,NWE 29
Pass,2:13,12,2,9,NWE 40
Run,2:00,0,1,10,MIA 48
Run,1:50,1,1,7,MIA 7
Run,1:46,0,2,6,MIA 6
Run,1:05,2,3,6,MIA 6
