year,lg,team,G,Ghome,W,L,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,SF
2002,NL,ATL,161,81,101,59,708,5495,1428,959,280,25,164,558,1028,76,39,54,49
2002,AL,BAL,162,81,67,95,667,5491,1353,850,311,27,165,452,993,110,48,64,49
2002,AL,BOS,162,81,93,69,859,5640,1560,1002,348,33,177,545,944,80,28,72,53
2002,NL,CHN,162,78,67,95,706,5496,1351,863,259,29,200,585,1269,63,21,44,39
2002,AL,CHA,162,81,81,81,856,5502,1475,940,289,29,217,555,952,75,31,49,53
2002,NL,CIN,162,80,78,84,709,5470,1386,899,297,21,169,583,1188,116,52,66,40
2002,AL,CLE,162,81,74,88,739,5423,1349,876,255,26,192,542,1000,52,37,56,39
2002,NL,COL,162,81,73,89,778,5512,1508,1032,283,41,152,497,1043,103,53,56,50
2002,AL,DET,161,80,55,106,575,5406,1340,914,265,37,124,363,1035,65,44,64,57
2002,NL,FLO,162,81,79,83,699,5496,1433,975,280,32,146,595,1130,177,73,61,49
2002,NL,HOU,162,81,84,78,749,5503,1441,951,291,32,167,589,1120,71,27,59,37
2002,AL,KCA,162,77,62,100,737,5535,1415,948,285,42,140,524,921,140,65,52,51
2002,NL,LAN,162,81,92,70,713,5554,1464,994,286,29,155,428,940,96,37,53,44
2002,NL,MIL,162,81,56,106,627,5415,1369,932,269,29,139,500,1125,94,50,55,34
2002,AL,MIN,161,81,94,67,768,5582,1518,967,348,36,167,472,1089,79,62,56,52
2002,NL,MON,162,81,83,79,735,5479,1432,934,300,36,162,575,1104,118,64,46,42
2002,NL,NYN,161,78,75,86,690,5496,1409,989,238,22,160,486,1044,87,42,63,30
2002,AL,NYA,161,80,103,58,897,5601,1540,991,314,12,223,640,1171,100,38,72,41
2002,AL,OAK,162,81,103,59,800,5558,1450,938,279,28,205,609,1008,46,20,68,36
2002,NL,PHI,161,79,80,81,710,5523,1428,897,325,41,165,640,1095,104,43,53,39
2002,NL,PIT,161,79,72,89,641,5330,1300,875,263,20,142,537,1109,86,49,73,41
2002,AL,TEX,162,80,72,90,843,5618,1510,949,304,27,230,554,1055,62,34,62,50
2002,AL,TOR,162,81,78,84,813,5581,1457,927,305,38,187,522,1142,71,18,53,57
2003,AL,ANA,162,82,77,85,736,5487,1473,1014,276,33,150,476,838,129,61,56,50
2003,NL,ARI,162,81,84,78,717,5570,1467,965,303,47,152,531,1006,76,38,45,52
2003,NL,ATL,162,81,101,61,907,5670,1608,1021,321,31,235,545,933,68,22,49,49
2003,AL,BAL,163,81,71,91,743,5665,1516,1063,277,24,152,431,902,89,36,54,40
2003,AL,BOS,162,81,95,67,961,5769,1667,1018,371,40,238,620,943,88,35,53,64
2003,AL,CHA,162,81,86,76,791,5487,1445,903,303,19,220,519,916,77,29,58,41
2003,NL,CHN,162,81,88,74,724,5519,1431,933,302,24,172,492,1158,73,31,50,46
2003,NL,CIN,162,81,69,93,694,5509,1349,907,239,21,182,524,1326,80,34,79,32
2003,AL,CLE,162,81,68,94,699,5572,1413,933,296,26,158,466,1062,86,61,62,41
2003,NL,COL,162,81,74,88,853,5518,1472,913,330,31,198,619,1134,63,37,52,38
2003,AL,DET,162,81,43,119,591,5466,1312,919,201,39,153,443,1099,98,63,47,49
2003,NL,FLO,162,81,91,71,751,5490,1459,966,292,44,157,515,978,150,74,57,41
2003,NL,HOU,162,81,87,75,805,5583,1466,937,308,30,191,557,1021,66,30,81,38
2003,AL,KCA,162,80,83,79,836,5568,1526,1037,288,39,162,476,926,120,42,75,57
2003,NL,LAN,162,81,85,77,574,5458,1328,919,260,25,124,407,985,80,36,72,28
2003,NL,MIL,162,81,68,94,714,5548,1423,937,266,24,196,547,1221,99,39,71,40
2003,AL,MIN,162,81,90,72,801,5655,1567,1049,318,45,155,512,1027,94,44,63,52
2003,NL,MON,162,81,83,79,711,5437,1404,941,294,25,144,522,990,100,39,45,40
2003,AL,NYA,163,82,101,61,877,5605,1518,970,304,14,230,684,1042,98,33,81,35
2003,NL,NYN,161,80,66,95,642,5341,1317,907,262,24,124,489,1035,70,31,54,45
2003,AL,OAK,162,81,96,66,768,5497,1398,881,317,24,176,556,898,48,14,59,53
2003,NL,PHI,162,81,86,76,791,5543,1448,930,325,27,166,651,1155,72,29,55,38
2003,NL,PIT,162,81,75,87,753,5581,1492,1009,275,45,163,529,1049,86,37,87,38
2003,NL,SDN,162,81,64,98,678,5531,1442,1025,257,32,128,565,1073,76,39,57,42
2003,AL,SEA,162,81,93,69,795,5561,1509,1047,290,33,139,586,989,108,37,53,46
2003,NL,SFN,161,81,100,61,755,5456,1440,950,281,29,180,593,980,53,37,40,39
2003,NL,SLN,162,81,85,77,876,5672,1580,1010,342,32,196,580,952,82,32,73,54
2003,AL,TBA,162,81,63,99,715,5654,1501,1028,298,38,137,420,1030,142,42,56,50
2003,AL,TEX,162,81,71,91,826,5664,1506,957,274,36,239,488,1052,65,25,75,42
2003,AL,TOR,162,81,86,76,894,5661,1580,1000,357,33,190,546,1081,37,25,90,56
2004,AL,ANA,162,81,92,70,836,5675,1603,1132,272,37,162,450,942,143,46,73,41
2004,NL,ARI,162,81,51,111,615,5544,1401,933,295,38,135,441,1022,53,32,35,37
2004,NL,ATL,162,81,96,66,803,5570,1503,984,304,37,178,587,1158,86,32,59,48
2004,AL,BAL,162,81,78,84,842,5736,1614,1108,319,18,169,528,949,101,41,57,62
2004,AL,BOS,162,81,98,64,949,5720,1613,993,373,25,222,659,1189,68,30,69,55
2004,AL,CHA,162,81,83,79,865,5534,1481,936,284,19,242,499,1030,78,51,63,42
2004,NL,CHN,162,82,89,73,789,5628,1508,936,308,29,235,489,1080,66,28,38,48
2004,NL,CIN,162,81,76,86,750,5518,1380,871,287,28,194,599,1335,77,25,81,25
2004,AL,CLE,162,81,80,82,858,5676,1565,1007,345,29,184,606,1009,94,55,78,42
2004,NL,COL,162,81,68,94,833,5577,1531,964,331,34,202,568,1181,44,33,54,37
2004,AL,DET,162,81,72,90,827,5623,1531,992,284,54,201,518,1144,86,50,50,43
2004,NL,FLO,162,80,83,79,718,5486,1447,992,275,32,148,499,968,96,43,58,40
2004,NL,HOU,162,81,92,70,803,5468,1458,941,294,36,187,590,999,89,30,61,52
2004,AL,KCA,162,80,58,104,720,5538,1432,992,261,29,150,461,1057,67,48,76,38
2004,NL,LAN,162,81,93,69,761,5542,1450,991,226,30,203,536,1092,102,41,62,35
2004,NL,MIL,161,81,67,94,634,5483,1358,896,295,32,135,540,1312,138,40,68,40
2004,AL,MIN,162,81,92,70,780,5623,1494,969,310,24,191,513,982,116,46,64,40
2004,NL,MON,162,80,67,95,635,5474,1361,907,276,27,151,496,925,109,38,35,33
2004,AL,NYA,162,81,101,61,897,5527,1483,940,281,20,242,670,982,84,33,80,50
2004,NL,NYN,162,81,71,91,684,5532,1376,882,289,20,185,512,1159,107,23,61,34
2004,AL,OAK,162,81,91,71,793,5728,1545,1005,336,15,189,608,1061,47,22,55,43
2004,NL,PHI,162,81,86,76,840,5643,1505,964,303,23,215,645,1133,100,27,58,46
2004,NL,PIT,161,80,72,89,680,5483,1428,980,267,39,142,415,1066,63,40,95,42
2004,NL,SDN,162,81,87,75,768,5573,1521,1046,304,32,139,566,910,52,25,56,66
2004,AL,SEA,162,82,63,99,698,5722,1544,1112,276,20,136,492,1058,110,42,54,48
2004,NL,SFN,162,82,91,71,850,5546,1500,970,314,33,183,705,874,43,23,72,51
2004,NL,SLN,162,81,105,57,855,5555,1544,987,319,24,214,548,1085,111,47,51,70
2004,AL,TBA,161,80,70,91,714,5483,1416,947,278,46,145,469,944,132,42,55,56
2004,AL,TEX,162,81,89,73,860,5615,1492,908,323,34,227,500,1099,69,36,61,57
2004,AL,TOR,161,81,67,94,719,5531,1438,969,290,34,145,513,1083,58,31,71,42
2005,AL,CHA,162,81,99,63,741,5529,1450,974,253,23,200,435,1002,137,67,79,49
2005,AL,CLE,162,81,93,69,790,5609,1522,948,337,30,207,503,1093,62,36,54,50
2005,AL,MIN,162,81,83,79,688,5564,1441,1006,269,32,134,485,978,102,44,59,42
2005,AL,DET,162,81,71,91,723,5602,1521,1025,283,45,168,384,1038,66,28,53,52
2005,AL,KCA,162,81,56,106,701,5503,1445,996,289,34,126,424,1008,53,33,63,50
2005,AL,NYA,162,81,95,67,886,5624,1552,1048,259,16,229,637,989,84,27,73,43
2005,AL,BOS,162,81,95,67,910,5626,1579,1020,339,21,199,653,1044,45,12,47,63
2005,AL,TOR,162,81,80,82,775,5581,1480,998,307,39,136,486,955,72,35,89,56
