"","Rk","G","Date","Age","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","Result","Dummy"
"375",47,47,"2017-01-21","27-148","HOU","@","MEM","W (+24)","1","33:53","7","9",".778","4","6",".667","11","12",".917","1","5","6","10","3","2","6","3","29","31.5","+21","W",1
"376",48,48,"2017-01-23","27-150","HOU","@","MIL","L (-13)","1","39:33","6","10",".600","2","4",".500","12","14",".857","0","8","8","12","3","1","11","3","26","22.9","+5","L",0
"377",49,49,"2017-01-25","27-152","HOU","@","BOS","L (-11)","1","37:01","6","18",".333","2","11",".182","16","19",".842","0","6","6","12","1","1","7","3","30","22.3","-14","L",0
"378",50,50,"2017-01-27","27-154","HOU","@","PHI","W (+5)","1","39:09","16","28",".571","6","11",".545","13","14",".929","1","12","13","13","2","1","5","4","51","46.9","+13","W",1
"379",51,51,"2017-01-29","27-156","HOU","@","IND","L (-19)","1","31:49","3","17",".176","2","10",".200","7","7","1.000","1","4","5","8","3","0","8","5","15","4.8","-23","L",0
"380",52,52,"2017-01-31","27-158","HOU","","SAC","W (+22)","1","31:44","3","9",".333","0","5",".000","4","4","1.000","0","7","7","8","1","0","5","2","10","7.8","+17","W",1
"381",53,53,"2017-02-02","27-160","HOU","","ATL","L (-5)","1","38:35","10","23",".435","5","12",".417","16","21",".762","2","6","8","8","4","0","4","3","41","34.5","+1","L",0
"382",54,54,"2017-02-03","27-161","HOU","","CHI","W (+4)","1","43:42","13","33",".394","5","13",".385","11","14",".786","1","11","12","9","1","1","2","4","42","31.3","-11","W",1
"383",55,55,"2017-02-07","27-165","HOU","","ORL","W (+24)","1","36:00","6","21",".286","3","10",".300","10","14",".714","1","5","6","13","3","0","4","1","25","21.0","+18","W",1
"384",56,56,"2017-02-09","27-167","HOU","@","CHO","W (+12)","1","39:27","8","21",".381","4","9",".444","10","12",".833","1","10","11","8","1","1","9","4","30","18.1","+13","W",1
"385",57,57,"2017-02-11","27-169","HOU","","PHO","W (+31)","1","29:13","9","17",".529","8","15",".533","14","16",".875","1","5","6","8","0","0","8","2","40","29.9","+26","W",1
"386",58,58,"2017-02-15","27-173","HOU","","MIA","L (-8)","1","41:43","10","21",".476","4","10",".400","14","16",".875","3","9","12","12","0","1","4","5","38","34.4","-6","L",0
"387",59,59,"2017-02-23","27-181","HOU","@","NOP","W (+30)","1","29:41","3","9",".333","1","6",".167","6","6","1.000","0","4","4","14","3","0","4","1","13","17.5","+27","W",1
"388",60,60,"2017-02-25","27-183","HOU","","MIN","W (+12)","1","35:08","6","15",".400","5","11",".455","7","10",".700","0","5","5","10","2","1","7","1","24","18.5","+5","W",1
"389",61,61,"2017-02-27","27-185","HOU","","IND","L (-9)","1","39:03","5","17",".294","1","9",".111","14","17",".824","1","6","7","12","2","0","2","2","25","24.0","-9","L",0
"390",62,62,"2017-03-01","27-187","HOU","@","LAC","W (+19)","1","35:33","7","15",".467","4","9",".444","8","8","1.000","0","3","3","9","1","0","7","4","26","17.9","0","W",1
"391",63,63,"2017-03-04","27-190","HOU","","MEM","W (+15)","1","36:20","9","15",".600","6","10",".600","9","13",".692","1","6","7","11","2","0","5","2","33","30.9","+13","W",1
"392",64,64,"2017-03-06","27-192","HOU","@","SAS","L (-2)","1","36:00","13","20",".650","6","9",".667","7","8",".875","1","2","3","12","0","0","7","2","39","31.7","-3","L",0
"393",65,65,"2017-03-08","27-194","HOU","","UTA","L (-7)","1","37:04","10","22",".455","0","8",".000","15","16",".938","0","4","4","6","2","1","6","1","35","24.9","+1","L",0
"394",66,66,"2017-03-10","27-196","HOU","@","CHI","W (+21)","1","33:16","6","16",".375","3","9",".333","4","5",".800","0","7","7","13","3","0","6","3","19","16.8","+18","W",1
"395",67,67,"2017-03-12","27-198","HOU","","CLE","W (+5)","1","39:48","13","28",".464","4","14",".286","8","12",".667","3","7","10","11","1","1","4","2","38","30.8","+23","W",1
"396",68,68,"2017-03-15","27-201","HOU","","LAL","W (+39)","1","31:10","6","12",".500","1","6",".167","5","7",".714","3","9","12","13","2","0","9","2","18","17.3","+10","W",1
"397",69,69,"2017-03-17","27-203","HOU","@","NOP","L (-16)","1","39:35","12","21",".571","4","10",".400","13","14",".929","2","12","14","11","2","0","5","2","41","39.6","-12","L",0
"398",70,70,"2017-03-18","27-204","HOU","@","DEN","W (+4)","1","36:52","11","23",".478","3","8",".375","15","17",".882","0","10","10","10","2","0","8","3","40","30.3","+10","W",1
"399",71,71,"2017-03-20","27-206","HOU","","DEN","W (+1)","1","39:30","13","29",".448","4","11",".364","9","11",".818","1","6","7","11","4","0","6","4","39","29.7","+2","W",1
"400",72,72,"2017-03-24","27-210","HOU","","NOP","W (+10)","1","37:45","12","24",".500","5","12",".417","9","11",".818","1","6","7","17","2","1","3","2","38","38.5","+12","W",1
"401",73,73,"2017-03-26","27-212","HOU","","OKC","W (+12)","1","36:00","8","15",".533","2","8",".250","4","5",".800","0","5","5","12","0","0","5","5","22","17.2","+11","W",1
"402",74,74,"2017-03-28","27-214","HOU","","GSW","L (-7)","1","37:52","5","20",".250","1","9",".111","13","13","1.000","3","8","11","13","1","0","6","1","24","20.2","-9","L",0
"403",75,75,"2017-03-30","27-216","HOU","@","POR","L (-10)","1","36:32","11","30",".367","2","13",".154","6","7",".857","2","6","8","4","1","0","6","2","30","13.2","-3","L",0
"404",76,76,"2017-03-31","27-217","HOU","@","GSW","L (-9)","1","34:49","4","17",".235","2","9",".222","7","7","1.000","4","8","12","8","0","1","6","3","17","11.0","-14","L",0
"406",78,77,"2017-04-05","27-222","HOU","","DEN","W (+6)","1","38:36","8","19",".421","4","10",".400","11","15",".733","0","7","7","10","1","3","4","3","31","26.3","+4","W",1
"407",79,78,"2017-04-07","27-224","HOU","","DET","L (-5)","1","37:33","10","25",".400","7","19",".368","6","7",".857","2","7","9","12","0","1","1","4","33","29.1","+8","L",0
"408",80,79,"2017-04-09","27-226","HOU","@","SAC","W (+7)","1","36:00","9","22",".409","5","13",".385","12","13",".923","0","11","11","15","1","0","10","2","35","26.8","+7","W",1
"409",81,80,"2017-04-10","27-227","HOU","@","LAC","L (-29)","1","24:22","2","9",".222","1","6",".167","9","14",".643","1","6","7","6","1","0","5","5","14","7.2","-27","L",0
"410",82,81,"2017-04-12","27-229","HOU","","MIN","W (+5)","1","34:55","8","13",".615","5","10",".500","6","8",".750","1","9","10","12","4","1","4","3","27","31.6","+19","W",1
"411",1,1,"2017-10-17","28-052","HOU","@","GSW","W (+1)","1","36:24","10","23",".435","4","9",".444","3","4",".750","1","5","6","11","1","0","3","2","27","21.6","+1","W",1
"412",2,2,"2017-10-18","28-053","HOU","@","SAC","W (+5)","1","37:46","8","21",".381","4","14",".286","7","8",".875","2","1","3","9","2","0","2","1","27","22.7","+1","W",1
"413",3,3,"2017-10-21","28-056","HOU","","DAL","W (+16)","1","30:45","10","19",".526","6","13",".462","3","4",".750","0","3","3","7","2","0","5","5","29","20.1","+31","W",1
"414",4,4,"2017-10-23","28-058","HOU","","MEM","L (-8)","1","35:08","8","20",".400","2","8",".250","4","8",".500","1","4","5","8","1","0","7","4","22","9.5","-14","L",0
"415",5,5,"2017-10-25","28-060","HOU","@","PHI","W (+1)","1","41:26","10","20",".500","2","8",".250","5","5","1.000","0","3","3","13","1","3","8","1","27","21.7","+9","W",1
"416",6,6,"2017-10-27","28-062","HOU","@","CHO","W (+16)","1","36:56","8","18",".444","4","10",".400","7","8",".875","0","10","10","11","1","0","5","4","27","22.3","-1","W",1
"417",7,7,"2017-10-28","28-063","HOU","@","MEM","L (-14)","1","33:37","6","19",".316","2","9",".222","6","7",".857","1","3","4","8","2","0","3","3","20","13.7","-13","L",0
"418",8,8,"2017-10-30","28-065","HOU","","PHI","L (-8)","1","38:27","8","21",".381","3","7",".429","10","12",".833","1","3","4","7","4","1","7","2","29","20.1","-12","L",0
"419",9,9,"2017-11-01","28-067","HOU","@","NYK","W (+22)","1","34:47","9","23",".391","6","17",".353","7","9",".778","1","4","5","9","0","0","7","5","31","16.9","+21","W",1
"420",10,10,"2017-11-03","28-069","HOU","@","ATL","W (+15)","1","30:56","8","15",".533","6","11",".545","7","10",".700","1","2","3","11","1","0","2","0","29","28.5","+19","W",1
"421",11,11,"2017-11-05","28-071","HOU","","UTA","W (+27)","1","35:15","19","25",".760","7","8",".875","11","12",".917","0","2","2","13","2","0","7","3","56","49.2","+25","W",1
"422",12,12,"2017-11-09","28-075","HOU","","CLE","W (+4)","1","42:41","8","21",".381","6","14",".429","13","14",".929","1","10","11","13","5","1","5","4","35","35.0","+3","W",1
"423",13,13,"2017-11-11","28-077","HOU","","MEM","W (+15)","1","37:35","11","25",".440","6","14",".429","10","14",".714","0","4","4","8","0","1","3","3","38","26.6","+23","W",1
"424",14,14,"2017-11-12","28-078","HOU","@","IND","W (+23)","1","33:34","9","21",".429","3","12",".250","5","5","1.000","0","5","5","15","2","0","3","1","26","25.5","+25","W",1
"425",15,15,"2017-11-14","28-080","HOU","","TOR","L (-16)","1","39:22","8","25",".320","3","11",".273","19","19","1.000","1","5","6","11","0","1","9","5","38","23.3","-2","L",0
"426",16,16,"2017-11-16","28-082","HOU","@","PHO","W (+26)","1","34:37","12","22",".545","6","11",".545","18","18","1.000","0","2","2","7","2","1","5","3","48","39.4","+15","W",1
"427",17,17,"2017-11-18","28-084","HOU","@","MEM","W (+22)","1","35:47","9","20",".450","6","12",".500","5","5","1.000","0","5","5","7","3","0","3","3","29","23.8","+5","W",1
"428",18,18,"2017-11-22","28-088","HOU","","DEN","W (+30)","1","31:38","6","16",".375","1","7",".143","8","9",".889","1","7","8","9","0","0","7","1","21","13.5","+29","W",1
"429",19,19,"2017-11-25","28-091","HOU","","NYK","W (+15)","1","36:52","12","27",".444","5","13",".385","8","10",".800","0","2","2","10","3","0","1","1","37","31.3","+2","W",1
"430",20,20,"2017-11-27","28-093","HOU","","BRK","W (+14)","1","35:47","13","20",".650","8","13",".615","3","4",".750","0","10","10","8","2","2","4","2","37","35.0","+22","W",1
"431",21,21,"2017-11-29","28-095","HOU","","IND","W (+21)","1","35:19","8","22",".364","4","12",".333","9","9","1.000","2","6","8","10","1","0","1","2","29","26.2","+26","W",1
"432",22,22,"2017-12-03","28-099","HOU","@","LAL","W (+23)","1","35:18","13","22",".591","4","9",".444","6","7",".857","1","3","4","9","2","0","4","3","36","30.1","+11","W",1
"433",23,23,"2017-12-07","28-103","HOU","@","UTA","W (+11)","1","35:09","8","19",".421","4","12",".333","9","9","1.000","0","6","6","3","1","0","3","2","29","20.0","+12","W",1
"434",24,24,"2017-12-09","28-105","HOU","@","POR","W (+7)","1","37:19","16","29",".552","4","7",".571","12","14",".857","1","7","8","3","3","0","2","2","48","38.4","+9","W",1
"435",25,25,"2017-12-11","28-107","HOU","","NOP","W (+7)","1","34:57","8","16",".500","4","10",".400","6","9",".667","0","1","1","17","6","0","3","3","26","30.8","-2","W",1
"436",26,26,"2017-12-13","28-109","HOU","","CHO","W (+12)","1","31:15","8","22",".364","3","10",".300","2","2","1.000","0","4","4","8","1","1","3","3","21","13.1","-6","W",1
"437",27,27,"2017-12-15","28-111","HOU","","SAS","W (+15)","1","33:01","6","18",".333","2","11",".182","14","16",".875","0","7","7","6","2","1","5","2","28","20.2","+12","W",1
"438",28,28,"2017-12-16","28-112","HOU","","MIL","W (+4)","1","39:12","8","21",".381","4","10",".400","11","14",".786","0","6","6","5","0","1","3","4","31","19.7","+1","W",1
"439",29,29,"2017-12-18","28-114","HOU","","UTA","W (+21)","1","37:55","6","17",".353","4","12",".333","10","10","1.000","0","6","6","6","2","1","5","2","26","19.4","+13","W",1
"440",30,30,"2017-12-20","28-116","HOU","","LAL","L (-6)","1","43:18","15","27",".556","4","6",".667","17","21",".810","0","3","3","9","1","1","6","5","51","37.4","+4","L",0
"441",31,31,"2017-12-22","28-118","HOU","","LAC","L (-10)","1","41:24","15","28",".536","6","14",".429","15","16",".938","0","4","4","8","3","0","8","6","51","36.4","-11","L",0
"442",32,32,"2017-12-25","28-121","HOU","@","OKC","L (-5)","1","38:34","7","18",".389","3","11",".273","12","14",".857","1","7","8","14","2","1","1","0","29","32.7","-7","L",0
"443",33,33,"2017-12-28","28-124","HOU","@","BOS","L (-1)","1","39:03","7","27",".259","5","15",".333","15","15","1.000","0","6","6","10","2","0","8","4","34","19.1","0","L",0
"444",34,34,"2017-12-29","28-125","HOU","@","WAS","L (-18)","1","29:25","7","14",".500","1","4",".250","5","6",".833","1","0","1","4","1","1","5","1","20","12.4","0","L",0
"445",35,35,"2017-12-31","28-127","HOU","","LAL","W (+6)","1","40:47","10","20",".500","3","8",".375","17","21",".810","0","2","2","11","2","2","1","2","40","38.3","+4","W",1
"453",43,36,"2018-01-18","28-145","HOU","","MIN","W (+18)","1","25:51","3","15",".200","1","5",".200","3","3","1.000","1","1","2","7","2","2","2","1","10","7.6","-11","W",1
"454",44,37,"2018-01-20","28-147","HOU","","GSW","W (+8)","1","34:35","8","16",".500","5","9",".556","1","2",".500","0","2","2","8","2","2","6","1","22","16.8","-6","W",1
"455",45,38,"2018-01-22","28-149","HOU","","MIA","W (+9)","1","34:49","10","26",".385","5","13",".385","3","4",".750","0","2","2","5","2","2","6","2","28","14.1","+6","W",1
"456",46,39,"2018-01-24","28-151","HOU","@","DAL","W (+7)","1","32:32","9","16",".563","6","10",".600","1","2",".500","1","4","5","13","1","1","1","1","25","28.3","+30","W",1
"457",47,40,"2018-01-26","28-153","HOU","@","NOP","L (-2)","1","33:56","5","16",".313","1","9",".111","12","14",".857","0","5","5","11","2","1","4","4","23","19.3","-12","L",0
"458",48,41,"2018-01-28","28-155","HOU","","PHO","W (+11)","1","37:57","8","21",".381","3","11",".273","8","12",".667","3","7","10","8","2","1","6","1","27","20.0","+16","W",1
"459",49,42,"2018-01-30","28-157","HOU","","ORL","W (+7)","1","46:26","19","30",".633","5","14",".357","17","18",".944","2","8","10","11","4","1","5","2","60","56.6","+7","W",1
"460",50,43,"2018-02-01","28-159","HOU","@","SAS","W (+11)","1","36:48","10","20",".500","5","12",".417","3","3","1.000","0","2","2","11","1","2","3","1","28","25.3","+18","W",1
"461",51,44,"2018-02-03","28-161","HOU","@","CLE","W (+32)","1","31:08","5","16",".313","1","11",".091","5","5","1.000","0","6","6","9","2","0","4","2","16","12.1","+11","W",1
"462",52,45,"2018-02-06","28-164","HOU","@","BRK","W (+10)","1","34:23","11","23",".478","4","10",".400","10","10","1.000","0","4","4","5","0","1","2","4","36","26.1","-7","W",1
"463",53,46,"2018-02-07","28-165","HOU","@","MIA","W (+8)","1","36:22","13","25",".520","5","12",".417","10","12",".833","0","4","4","6","3","1","4","2","41","32.2","+9","W",1
"464",54,47,"2018-02-09","28-167","HOU","","DEN","W (+26)","1","27:23","7","16",".438","5","11",".455","9","11",".818","1","6","7","11","0","0","5","2","28","23.2","+23","W",1
"465",55,48,"2018-02-11","28-169","HOU","","DAL","W (+7)","1","34:09","6","19",".316","4","13",".308","11","12",".917","0","6","6","5","2","1","3","1","27","20.3","+5","W",1
"466",56,49,"2018-02-13","28-171","HOU","@","MIN","W (+18)","1","35:49","10","20",".500","6","10",".600","8","9",".889","0","6","6","13","0","1","1","2","34","33.4","+11","W",1
"467",57,50,"2018-02-14","28-172","HOU","","SAC","W (+9)","1","35:01","7","19",".368","5","15",".333","9","11",".818","0","9","9","9","2","1","6","2","28","21.6","+14","W",1
"468",58,51,"2018-02-23","28-181","HOU","","MIN","W (+18)","1","34:28","8","25",".320","3","10",".300","12","12","1.000","0","2","2","9","2","0","4","2","31","20.8","+12","W",1
"469",59,52,"2018-02-25","28-183","HOU","@","DEN","W (+5)","1","37:15","11","20",".550","6","10",".600","13","16",".813","1","7","8","7","1","0","5","2","41","33.1","+12","W",1
"470",60,53,"2018-02-26","28-184","HOU","@","UTA","W (+11)","1","34:58","8","13",".615","1","5",".200","9","12",".750","1","10","11","5","4","0","6","1","26","23.7","+15","W",1
"471",61,54,"2018-02-28","28-186","HOU","@","LAC","W (+13)","1","33:13","7","14",".500","3","10",".300","8","9",".889","0","3","3","7","2","1","4","4","25","20.5","+17","W",1
"472",62,55,"2018-03-03","28-189","HOU","","BOS","W (+3)","1","37:48","6","18",".333","3","12",".250","11","13",".846","2","5","7","10","5","1","4","2","26","25.8","+20","W",1
"473",63,56,"2018-03-06","28-192","HOU","@","OKC","W (+10)","1","36:06","8","13",".615","1","3",".333","6","7",".857","0","5","5","11","4","1","10","4","23","19.0","+3","W",1
"474",64,57,"2018-03-07","28-193","HOU","@","MIL","W (+11)","1","34:46","8","20",".400","3","10",".300","7","7","1.000","0","5","5","6","4","1","5","2","26","19.8","+5","W",1
"475",65,58,"2018-03-09","28-195","HOU","@","TOR","L (-3)","1","33:29","15","22",".682","4","8",".500","6","7",".857","0","2","2","4","0","1","4","1","40","29.9","+1","L",0
"477",67,59,"2018-03-12","28-198","HOU","","SAS","W (+16)","1","28:56","6","17",".353","2","11",".182","14","14","1.000","2","4","6","6","0","0","3","3","28","21.1","+17","W",1
"478",68,60,"2018-03-15","28-201","HOU","","LAC","W (+5)","1","34:25","7","16",".438","2","8",".250","8","9",".889","2","3","5","7","1","1","3","3","24","19.9","+1","W",1
"479",69,61,"2018-03-17","28-203","HOU","@","NOP","W (+6)","1","37:41","11","28",".393","4","13",".308","6","8",".750","4","7","11","8","2","0","2","2","32","25.7","+18","W",1
"480",70,62,"2018-03-18","28-204","HOU","@","MIN","W (+9)","1","36:45","9","18",".500","2","9",".222","14","14","1.000","0","4","4","12","2","1","4","2","34","32.5","+10","W",1
"481",71,63,"2018-03-20","28-206","HOU","@","POR","W (+4)","1","32:47","13","25",".520","5","7",".714","11","15",".733","0","6","6","7","0","0","4","3","42","29.6","-5","W",1
"482",72,64,"2018-03-22","28-208","HOU","","DET","W (+4)","1","40:23","4","20",".200","0","8",".000","13","18",".722","0","8","8","5","2","2","3","2","21","12.1","-8","W",1
"483",73,65,"2018-03-24","28-210","HOU","","NOP","W (+23)","1","29:31","11","24",".458","3","11",".273","2","2","1.000","0","6","6","8","1","1","9","0","27","14.7","+14","W",1
"484",74,66,"2018-03-25","28-211","HOU","","ATL","W (+19)","1","30:03","6","15",".400","1","7",".143","5","5","1.000","0","10","10","15","2","0","2","2","18","22.6","+14","W",1
"486",76,67,"2018-03-30","28-216","HOU","","PHO","W (+1)","1","38:17","8","21",".381","1","8",".125","11","17",".647","0","8","8","10","2","1","4","1","28","21.8","-2","W",1
"487",77,68,"2018-04-01","28-218","HOU","@","SAS","L (-17)","1","35:57","8","19",".421","1","6",".167","8","8","1.000","1","2","3","8","0","0","5","5","25","14.8","-19","L",0
"488",78,69,"2018-04-03","28-220","HOU","","WAS","W (+16)","1","33:59","12","18",".667","5","8",".625","9","10",".900","1","9","10","9","1","1","3","1","38","37.8","+17","W",1
"489",79,70,"2018-04-05","28-222","HOU","","POR","W (+2)","1","34:21","7","13",".538","3","6",".500","7","10",".700","1","5","6","7","1","0","8","0","24","16.6","+7","W",1
"490",80,71,"2018-04-07","28-224","HOU","","OKC","L (-6)","1","36:25","7","16",".438","3","8",".375","9","12",".750","0","4","4","9","1","1","5","5","26","18.6","+2","L",0
"491",81,72,"2018-04-10","28-227","HOU","@","LAL","W (+6)","1","30:51","6","15",".400","3","7",".429","6","6","1.000","1","3","4","10","1","1","6","0","21","17.2","0","W",1
"493",1,1,"2018-10-17","29-052","HOU","","NOP","L (-19)","1","34:43","6","15",".400","3","8",".375","3","4",".750","2","7","9","10","3","1","4","2","18","18.9","-23","L",0
"494",2,2,"2018-10-20","29-055","HOU","@","LAL","W (+9)","1","37:50","10","19",".526","5","10",".500","11","15",".733","1","6","7","5","2","1","6","2","36","27.0","-3","W",1
"495",3,3,"2018-10-21","29-056","HOU","@","LAC","L (-3)","1","39:45","11","26",".423","4","12",".333","5","6",".833","0","4","4","14","2","0","3","1","31","26.4","+5","L",0
"496",4,4,"2018-10-24","29-059","HOU","","UTA","L (-11)","1","31:38","10","19",".526","3","4",".750","6","9",".667","1","4","5","7","1","0","7","4","29","17.7","-5","L",0
"500",8,5,"2018-11-03","29-069","HOU","@","CHI","W (+8)","1","33:16","7","17",".412","5","12",".417","6","8",".750","0","1","1","7","4","0","8","3","25","15.1","+9","W",1
"501",9,6,"2018-11-05","29-071","HOU","@","IND","W (+4)","1","35:07","7","15",".467","5","12",".417","9","9","1.000","0","4","4","6","3","1","5","5","28","22.4","+6","W",1
"502",10,7,"2018-11-08","29-074","HOU","@","OKC","L (-18)","1","37:32","7","19",".368","4","12",".333","1","3",".333","1","7","8","5","2","1","5","3","19","10.5","-13","L",0
"503",11,8,"2018-11-10","29-076","HOU","@","SAS","L (-7)","1","38:31","7","27",".259","1","13",".077","10","13",".769","0","6","6","3","2","2","2","3","25","11.8","-8","L",0
"504",12,9,"2018-11-11","29-077","HOU","","IND","W (+12)","1","37:59","9","20",".450","8","18",".444","14","15",".933","0","7","7","9","1","1","9","5","40","28.3","+14","W",1
"505",13,10,"2018-11-13","29-079","HOU","@","DEN","W (+10)","1","36:49","7","16",".438","2","10",".200","6","8",".750","1","4","5","11","3","1","4","3","22","20.9","+13","W",1
"506",14,11,"2018-11-15","29-081","HOU","","GSW","W (+21)","1","32:05","8","23",".348","4","14",".286","7","8",".875","0","3","3","3","2","0","1","4","27","16.1","+11","W",1
"507",15,12,"2018-11-17","29-083","HOU","","SAC","W (+20)","1","34:17","10","17",".588","4","10",".400","10","10","1.000","0","4","4","8","3","0","6","3","34","28.7","+1","W",1
"508",16,13,"2018-11-21","29-087","HOU","","DET","W (+2)","1","36:22","10","20",".500","4","9",".444","19","19","1.000","1","6","7","9","4","0","6","3","43","38.6","+9","W",1
"509",17,14,"2018-11-23","29-089","HOU","@","DET","L (-5)","1","40:53","9","27",".333","3","11",".273","12","14",".857","1","1","2","8","0","1","7","5","33","15.2","-14","L",0
"510",18,15,"2018-11-24","29-090","HOU","@","CLE","L (-9)","1","43:38","14","30",".467","5","12",".417","7","12",".583","1","3","4","13","1","0","9","3","40","24.1","-2","L",0
"511",19,16,"2018-11-26","29-092","HOU","@","WAS","L (-4)","1","47:21","17","32",".531","7","15",".467","13","15",".867","1","7","8","13","3","0","11","4","54","39.9","+7","L",0
"512",20,17,"2018-11-28","29-094","HOU","","DAL","L (-20)","1","37:21","7","15",".467","4","11",".364","7","9",".778","1","10","11","17","6","0","8","4","25","28.5","-16","L",0
"513",21,18,"2018-11-30","29-096","HOU","@","SAS","W (+31)","1","27:35","9","20",".450","3","11",".273","2","2","1.000","1","6","7","10","0","1","2","4","23","19.2","+33","W",1
"514",22,19,"2018-12-01","29-097","HOU","","CHI","W (+16)","1","30:22","9","16",".563","6","11",".545","6","7",".857","0","6","6","7","1","1","7","1","30","23.0","+11","W",1
"515",23,20,"2018-12-03","29-099","HOU","@","MIN","L (-12)","1","37:01","8","17",".471","3","7",".429","10","13",".769","0","4","4","8","2","1","5","5","29","21.6","-13","L",0
"516",24,21,"2018-12-06","29-102","HOU","@","UTA","L (-27)","1","27:58","5","16",".313","2","8",".250","3","3","1.000","1","5","6","2","0","0","7","3","15","1.2","-27","L",0
"517",25,22,"2018-12-08","29-104","HOU","@","DAL","L (-3)","1","36:39","11","22",".500","6","16",".375","7","7","1.000","0","4","4","8","1","1","6","5","35","24.5","-8","L",0
"518",26,23,"2018-12-11","29-107","HOU","","POR","W (+7)","1","32:28","10","21",".476","4","9",".444","5","7",".714","0","1","1","4","1","0","2","4","29","18.0","-15","W",1
"519",27,24,"2018-12-13","29-109","HOU","","LAL","W (+15)","1","35:28","14","26",".538","4","12",".333","18","19",".947","2","8","10","11","2","0","6","4","50","42.9","+14","W",1
"520",28,25,"2018-12-15","29-111","HOU","@","MEM","W (+8)","1","40:32","9","14",".643","3","7",".429","11","13",".846","0","12","12","10","2","0","5","1","32","32.2","+3","W",1
"521",29,26,"2018-12-17","29-113","HOU","","UTA","W (+5)","1","40:34","14","31",".452","4","12",".333","15","16",".938","0","6","6","5","5","0","5","4","47","34.2","-1","W",1
"522",30,27,"2018-12-19","29-115","HOU","","WAS","W (+18)","1","33:38","10","18",".556","6","11",".545","9","9","1.000","0","3","3","9","2","0","2","4","35","32.0","+12","W",1
"523",31,28,"2018-12-20","29-116","HOU","@","MIA","L (-2)","1","42:49","7","23",".304","6","14",".429","15","18",".833","1","5","6","12","2","0","3","4","35","28.5","+6","L",0
"524",32,29,"2018-12-22","29-118","HOU","","SAS","W (+7)","1","41:07","12","34",".353","7","19",".368","8","9",".889","2","2","4","10","2","0","3","4","39","26.0","+14","W",1
"525",33,30,"2018-12-25","29-121","HOU","","OKC","W (+4)","1","38:48","15","35",".429","5","16",".313","6","7",".857","2","4","6","7","2","1","6","3","41","25.1","+4","W",1
"526",34,31,"2018-12-27","29-123","HOU","","BOS","W (+14)","1","38:31","11","26",".423","9","18",".500","14","17",".824","0","2","2","6","0","1","6","2","45","28.7","+3","W",1
"527",35,32,"2018-12-29","29-125","HOU","@","NOP","W (+4)","1","37:01","10","25",".400","7","17",".412","14","14","1.000","3","6","9","6","3","2","7","4","41","31.4","-6","W",1
"528",36,33,"2018-12-31","29-127","HOU","","MEM","W (+12)","1","41:03","8","19",".421","6","12",".500","21","27",".778","1","9","10","13","2","0","9","3","43","34.8","+21","W",1
"529",37,34,"2019-01-03","29-130","HOU","@","GSW","W (+1)","1","44:01","13","32",".406","10","23",".435","8","9",".889","2","8","10","15","1","2","7","4","44","34.5","+5","W",1
"530",38,35,"2019-01-05","29-132","HOU","@","POR","L (-9)","1","36:59","13","35",".371","5","17",".294","7","7","1.000","0","5","5","7","1","1","7","4","38","18.2","-14","L",0
"531",39,36,"2019-01-07","29-134","HOU","","DEN","W (+12)","1","39:52","7","18",".389","6","15",".400","12","15",".800","0","5","5","14","1","1","6","4","32","26.4","+23","W",1
"532",40,37,"2019-01-09","29-136","HOU","","MIL","L (-7)","1","40:54","13","30",".433","6","16",".375","10","11",".909","1","10","11","6","2","1","9","4","42","25.8","+2","L",0
"533",41,38,"2019-01-11","29-138","HOU","","CLE","W (+28)","1","29:34","12","24",".500","8","16",".500","11","11","1.000","0","10","10","12","2","2","4","2","43","41.0","+28","W",1
"534",42,39,"2019-01-13","29-140","HOU","@","ORL","L (-7)","1","43:01","11","32",".344","1","17",".059","15","16",".938","2","7","9","12","4","0","4","3","38","30.3","0","L",0
"535",43,40,"2019-01-14","29-141","HOU","","MEM","W (+18)","1","34:06","17","33",".515","6","15",".400","17","18",".944","2","7","9","2","2","1","5","4","57","41.3","+25","W",1
"536",44,41,"2019-01-16","29-143","HOU","","BRK","L (-3)","1","45:02","16","34",".471","5","19",".263","21","23",".913","1","9","10","6","1","1","4","5","58","43.1","-8","L",0
"537",45,42,"2019-01-19","29-146","HOU","","LAL","W (+4)","1","42:08","14","30",".467","8","19",".421","12","15",".800","3","5","8","6","4","1","6","3","48","36.7","+11","W",1
"538",46,43,"2019-01-21","29-148","HOU","@","PHI","L (-28)","1","30:49","12","26",".462","6","13",".462","7","8",".875","2","4","6","3","1","2","6","4","37","22.7","-23","L",0
"539",47,44,"2019-01-23","29-150","HOU","@","NYK","W (+4)","1","40:00","17","38",".447","5","20",".250","22","25",".880","6","9","15","4","5","0","5","3","61","48.5","+19","W",1
"540",48,45,"2019-01-25","29-152","HOU","","TOR","W (+2)","1","40:18","9","25",".360","2","13",".154","15","15","1.000","0","2","2","7","0","1","4","2","35","22.5","-8","W",1
"541",49,46,"2019-01-27","29-154","HOU","","ORL","W (+5)","1","37:09","14","27",".519","4","12",".333","8","9",".889","1","10","11","6","1","3","5","3","40","31.1","-1","W",1
