"","Rk","G","Date","Age","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","Result","Dummy"
"288",42,42,"2016-01-17","26-144","HOU","@","LAL","W (+17)","1","27:15","10","17",".588","4","7",".571","7","10",".700","0","3","3","5","0","0","2","1","31","23.9","+10","W",1
"289",43,43,"2016-01-18","26-145","HOU","@","LAC","L (-8)","1","40:21","5","12",".417","2","7",".286","8","13",".615","0","3","3","8","0","0","3","4","20","13.5","-15","L",0
"290",44,44,"2016-01-20","26-147","HOU","","DET","L (-9)","1","36:03","9","22",".409","3","7",".429","12","12","1.000","2","15","17","14","1","0","6","5","33","29.9","-11","L",0
"291",45,45,"2016-01-22","26-149","HOU","","MIL","W (+4)","1","34:06","9","15",".600","5","8",".625","7","8",".875","0","5","5","8","2","0","2","2","30","29.0","+9","W",1
"292",46,46,"2016-01-24","26-151","HOU","","DAL","W (+11)","1","35:40","7","18",".389","3","10",".300","6","6","1.000","2","13","15","10","0","2","2","1","23","24.5","+10","W",1
"293",47,47,"2016-01-25","26-152","HOU","@","NOP","W (+1)","1","41:11","11","20",".550","3","5",".600","10","10","1.000","0","11","11","8","1","1","2","4","35","32.4","+15","W",1
"294",48,48,"2016-01-27","26-154","HOU","@","SAS","L (-31)","1","27:36","5","10",".500","1","3",".333","9","9","1.000","1","2","3","2","0","1","5","1","20","13.0","-24","L",0
"295",49,49,"2016-01-29","26-156","HOU","@","OKC","L (-8)","1","39:24","8","22",".364","2","7",".286","15","17",".882","0","7","7","7","2","1","3","2","33","25.9","-6","L",0
"296",50,50,"2016-01-30","26-157","HOU","","WAS","L (-1)","1","37:20","12","20",".600","6","9",".667","10","10","1.000","1","6","7","11","4","0","2","5","40","41.0","-2","L",0
"297",51,51,"2016-02-02","26-160","HOU","","MIA","W (+13)","1","34:40","10","19",".526","3","8",".375","3","4",".750","0","4","4","14","2","1","3","2","26","26.2","+12","W",1
"298",52,52,"2016-02-04","26-162","HOU","@","PHO","W (+6)","1","36:09","4","19",".211","2","9",".222","7","7","1.000","2","7","9","6","2","0","4","2","17","10.2","+14","W",1
"299",53,53,"2016-02-06","26-164","HOU","","POR","L (-17)","1","35:33","7","18",".389","4","9",".444","15","18",".833","0","8","8","3","3","1","10","2","33","19.4","-15","L",0
"300",54,54,"2016-02-09","26-167","HOU","@","GSW","L (-13)","1","40:05","10","21",".476","6","10",".600","11","13",".846","0","5","5","5","3","1","1","2","37","32.4","-3","L",0
"301",55,55,"2016-02-10","26-168","HOU","@","POR","L (-13)","1","41:44","10","20",".500","3","8",".375","11","14",".786","2","7","9","11","2","0","8","4","34","26.4","-9","L",0
"302",56,56,"2016-02-19","26-177","HOU","@","PHO","W (+16)","1","33:24","6","16",".375","1","9",".111","14","17",".824","1","9","10","7","3","1","2","5","27","25.0","+33","W",1
"303",57,57,"2016-02-23","26-181","HOU","@","UTA","L (-3)","1","43:58","16","30",".533","2","7",".286","8","10",".800","1","4","5","4","2","0","5","5","42","26.3","+2","L",0
"304",58,58,"2016-02-25","26-183","HOU","@","POR","W (+14)","1","46:25","16","26",".615","4","9",".444","10","13",".769","2","3","5","8","3","0","5","5","46","36.9","+17","W",1
"305",59,59,"2016-02-27","26-185","HOU","","SAS","L (-10)","1","41:22","10","25",".400","3","8",".375","4","4","1.000","1","3","4","2","1","0","5","2","27","11.7","-12","L",0
"306",60,60,"2016-02-29","26-187","HOU","@","MIL","L (-7)","1","39:58","8","16",".500","3","7",".429","7","7","1.000","0","6","6","9","3","0","4","3","26","23.9","+9","L",0
"307",61,61,"2016-03-02","26-189","HOU","","NOP","W (+5)","1","39:43","11","24",".458","1","9",".111","16","18",".889","3","9","12","7","4","1","8","3","39","31.0","+10","W",1
"308",62,62,"2016-03-05","26-192","HOU","@","CHI","L (-8)","1","39:48","10","26",".385","4","12",".333","12","14",".857","1","4","5","8","0","0","9","5","36","17.5","-2","L",0
"309",63,63,"2016-03-06","26-193","HOU","@","TOR","W (+6)","1","42:41","11","20",".550","3","7",".429","15","19",".789","0","5","5","14","1","0","1","4","40","38.5","+17","W",1
"310",64,64,"2016-03-09","26-196","HOU","@","PHI","W (+14)","1","41:15","8","26",".308","0","8",".000","13","13","1.000","2","7","9","8","1","1","4","4","29","19.2","+19","W",1
"311",65,65,"2016-03-11","26-198","HOU","@","BOS","W (+4)","1","36:12","9","19",".474","1","6",".167","13","15",".867","0","3","3","4","1","1","6","4","32","19.3","+1","W",1
"312",66,66,"2016-03-12","26-199","HOU","@","CHO","L (-16)","1","33:42","2","14",".143","0","5",".000","8","9",".889","1","2","3","10","2","0","1","3","12","10.7","-23","L",0
"313",67,67,"2016-03-14","26-201","HOU","","MEM","W (+49)","1","25:12","3","8",".375","2","5",".400","7","8",".875","0","7","7","8","1","3","5","1","15","15.6","+30","W",1
"314",68,68,"2016-03-16","26-203","HOU","","LAC","L (-16)","1","44:14","11","23",".478","5","10",".500","6","8",".750","0","5","5","8","1","1","8","2","33","20.5","-10","L",0
